FECHA,NEMO,MONTO,CANTIDAD,PRECIO CIERRE,PRECIO MIN,PRECIO MAX,PRECIO PROM
2016-01-08,COLTEJER,0,0,1950,0,0,0
2016-01-08,CONCONCRET,0,0,1070,0,0,0
2016-01-08,CORFERIAS,0,0,1000,0,0,0
2016-01-08,CORFICOLCF,432302120,11817,36400,36400,37240,36583.07
2016-01-08,ECOPETROL,4262894265,4186359,1015,1010,1035,1018.28
2016-01-08,EDATEL,0,0,1000,0,0,0
2016-01-08,EEB,448497830,258204,1740,1735,1740,1736.99
2016-01-08,ELCONDOR,24449500,22850,1070,1070,1070,1070
2016-01-08,ENKA,0,0,10.9,0,0,0
2016-01-08,EPSA,0,0,9000,0,0,0
2016-01-08,ESTRA,0,0,245,0,0,0
2016-01-08,ETB,246625608,466063,530,524,534,529.17
2016-01-08,EXITO,1162729100,92268,12600,12600,12620,12601.65
2016-01-08,FABRICATO,2840000,200000,15.1,0,0,14.2
2016-01-08,FAMILIA,0,0,1100,0,0,0
2016-01-08,GOOGL,0,0,2573360,0,0,0
2016-01-08,GRUPOARGOS,831958800,53430,15500,15500,15680,15571.01
2016-01-08,GRUPOAVAL,21333220,21122,1010,1010,1010,1010
2016-01-08,GRUPOSURA,3007237620,92802,32140,32140,32580,32404.88
2016-01-08,GURU,0,0,78040,0,0,0
2016-01-08,HCOLSEL,0,0,10120,0,0,0
2016-01-08,ICOLCAP,196285190,17510,11210,11210,11210,11209.89
2016-01-08,ISA,387097700,55006,7040,7020,7050,7037.37
2016-01-08,ISAGEN,10720889235,3132848,3420,3320,3550,3422.09
2016-01-08,JPM,98000000,500,196000,196000,196000,196000
2016-01-08,MANCEMENTO,19000000,500,38000,38000,38000,38000
2016-01-08,MINEROS,0,0,1970,0,0,0
2016-01-08,NUTRESA,588146540,26189,22400,22320,22600,22457.77
2016-01-08,OCCIDENTE,0,0,38500,0,0,0
2016-01-08,ODINSA,0,0,8500,0,0,0
2016-01-08,PAZRIO,0,0,7.79,0,0,0
2016-01-08,PFAVAL,1876715410,1853665,1015,1010,1020,1012.44
2016-01-08,PFAVH,196772180,124788,1575,1565,1590,1576.85
2016-01-08,PFBBVACOL,0,0,295,0,0,0
2016-01-08,PFBCOLOM,3976162720,190454,20840,20800,21000,20877.29
2016-01-08,PFCARPAK,0,0,1790,0,0,0
2016-01-08,PFCEMARGOS,332726330,37283,8920,8800,8990,8924.34
2016-01-08,PFCORFICOL,0,0,32500,0,0,0
2016-01-08,PFDAVVNDA,262381820,12373,21420,21100,21440,21206
2016-01-08,PFE,0,0,109300,0,0,0
2016-01-08,PFGRUPOARG,114680040,7858,14660,14580,14660,14594.05
2016-01-08,PFGRUPSURA,716471440,22187,31880,31880,32980,32292.4
2016-01-08,PFVILLAS,0,0,6000,0,0,0
2016-01-08,PFVILLASCA,114000,38,2700,0,0,3000
2016-01-08,POPULAR,0,0,500,0,0,0
2016-01-08,PPH,0,0,205100,0,0,0
2016-01-08,PREC,74475440,21703,3470,3400,3470,3431.57
2016-01-08,PROMIGAS,0,0,5000,0,0,0
2016-01-08,PROTECCION,0,0,71000,0,0,0
2016-01-08,RSX,0,0,49300,0,0,0
2016-01-08,SDIV,0,0,66080,0,0,0
2016-01-08,SOCBOLIVAR,0,0,57000,0,0,0
2016-01-08,TABLEMAC,0,0,9,0,0,0
2016-01-08,TERPEL,0,0,8400,0,0,0
2016-01-08,TGLSC,4819500,105,45000,0,0,45900
2016-01-08,VALINDUSTR,0,0,5500,0,0,0
2016-01-08,VALOREM,0,0,460,0,0,0
2016-01-08,VALSIMESA,0,0,1500,0,0,0
2016-01-08,VILLAS,0,0,9500,0,0,0
2016-01-12,AAPL,0,0,323620,0,0,0
2016-01-12,AMZN,0,0,2026140,0,0,0
2016-01-12,BAC,0,0,50740,0,0,0
2016-01-12,BBH,0,0,384400,0,0,0
2016-01-12,BBVACOL,0,0,240,0,0,0
2016-01-12,BCOLOMBIA,413166040,20873,19620,19560,19900,19794.28
2016-01-12,BIOMAX,0,0,1750,0,0,0
2016-01-12,BMC,0,0,841,0,0,0
2016-01-12,BOGOTA,273885400,4796,57100,57100,57140,57107.05
2016-01-12,BVC,87150701.5,5180799,16.7,16.7,17.3,16.82
2016-01-12,C,0,0,153960,0,0,0
2016-01-12,CARTON,69000000,15000,4600,4600,4600,4600
2016-01-12,CELSIA,484841250,167611,2860,2835,2940,2892.66
2016-01-12,CEMARGOS,1802332020,200730,8870,8870,9270,8978.89
2016-01-12,CLH,3177188980,316843,10000,9960,10140,10027.64
2016-01-12,CNEC,1870987150,359080,5210,4960,5700,5210.5
2016-01-12,COLTEJER,233599050,118278,1975,1975,1975,1975
2016-01-12,CONCONCRET,37360395,36097,1035,1035,1035,1035
2016-01-12,CORFERIAS,0,0,1000,0,0,0
2016-01-12,CORFICOLCF,2903848000,79829,36000,35880,36520,36375.85
2016-01-12,ECOPETROL,13531083501,14073512,955,947,1005,961.46
2016-01-12,EDATEL,0,0,1000,0,0,0
2016-01-12,EEB,11142930,6441,1730,1730,1730,1730
2016-01-12,ELCONDOR,0,0,1070,0,0,0
2016-01-12,ENKA,0,0,10.9,0,0,0
2016-01-12,EPSA,0,0,9000,0,0,0
2016-01-12,ESTRA,0,0,245,0,0,0
2016-01-12,ETB,682183290,1277374,541,526,548,534.05
2016-01-12,EXITO,1724653500,140800,12300,12180,12500,12248.96
2016-01-12,FABRICATO,12560948.4,878388,14.3,14.3,14.3,14.3
2016-01-12,FAMILIA,0,0,1100,0,0,0
2016-01-12,GOOGL,0,0,2384680,0,0,0
2016-01-12,GRUPOARGOS,2201507200,145377,15500,14520,15500,15143.44
2016-01-12,GRUPOAVAL,78126100,77969,995,990,1010,1002.01
2016-01-12,GRUPOSURA,10065535940,327213,30900,30280,32140,30761.42
2016-01-12,GURU,0,0,70680,0,0,0
2016-01-12,HCOLSEL,0,0,10120,0,0,0
2016-01-12,ICOLCAP,212113888.5,19482,10895,10798,10895,10887.69
2016-01-12,ISA,1453940990,208765,7170,6800,7170,6964.49
